OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt
6,1080,1,1080,1,1958
6,1700,2,1682,2,2003
6,1310,1,617,2,1924
4,1067,2,1067,2,1950
6,1928,1,1020,2,1910
7,2784,2,1392,3,1978
7,2097,2,1108,2,1998
6,816,1,816,1,1930
6,1953,2,1580,2,1992
8,1659,2,1501,2,2000
5,1779,2,1763,1,1955
7,1248,2,1248,2,2005
7,1929,2,1057,2,2001
6,1262,2,1262,2,1976
7,2696,3,1264,2,2007
5,894,1,894,1,1965
6,1912,2,482,2,1905
5,965,1,828,1,1965
6,1824,0,912,2,1971
8,1787,3,1753,2,2001
4,1440,0,1440,2,1955
6,1252,1,1032,1,1950
8,1987,2,1986,2,1994
4,1181,2,1138,2,1972
6,1792,2,936,2,2000
5,864,0,864,1,1922
5,1128,2,1120,2,1963
8,1959,3,1088,2,2006
6,1839,2,756,1,1966
5,904,1,876,1,1966
5,1040,2,1040,2,1977
6,918,1,918,2,1979
6,1520,1,1156,1,1955
7,1411,2,1386,2,1977
6,2058,2,735,1,1917
6,2201,2,697,2,1966
7,1656,2,746,2,2003
7,1494,2,1482,2,1998
6,1564,2,650,2,1980
6,981,2,981,1,1971
6,1502,1,602,1,1923
5,1092,1,1092,1,1957
5,1520,1,793,1,1932
5,1320,2,1164,1,1966
8,1836,3,1836,2,2004
7,1889,1,925,1,1910
5,1130,2,1120,1,1920
7,2398,3,1379,2,1996
6,1991,2,854,1,1932
9,1838,3,1838,2,2006
6,1352,1,663,1,1969
7,1720,2,1720,2,1996
6,1716,2,858,1,1962
5,999,1,999,1,1962
6,1470,2,680,2,1993
4,1132,2,1132,1,2005
6,1674,2,1163,2,1918
6,1337,2,1405,2,1998
7,1349,2,1349,2,2000
5,1148,1,1148,1,1959
6,1683,2,918,2,1978
4,1344,0,546,1,1970
5,1696,1,1140,1,1962
5,882,1,0,1,1959
7,1895,2,712,2,1994
5,894,1,894,1,1962
5,1812,1,864,2,1962
7,1714,2,980,2,1988
6,1114,2,1114,1,2003
7,1689,3,1689,2,2007
5,1376,1,768,1,1941
8,2704,2,1952,2,1972
8,1872,2,1299,2,2001
5,858,0,858,1,1958
4,864,2,864,1,1970
9,1668,3,1626,2,2002
5,835,1,458,1,1920
5,1128,1,936,1,1954
6,1639,1,1064,1,1936
5,1214,2,1214,1,1965
6,1556,2,727,1,1968
7,1364,2,1364,2,2005
7,2236,2,964,2,1997
6,1004,2,975,1,1977
4,1121,2,1121,2,2003
5,1721,2,1461,2,1968
7,1316,2,1316,2,2007
6,1324,2,1088,2,1965
8,1360,2,1220,1,1984
6,1194,1,1194,1,1959
9,1856,3,1856,1,2010
5,900,1,882,1,1967
5,1134,1,756,1,1940
6,1961,2,804,2,2001
5,816,2,816,1,1982
5,894,2,894,1,1968
4,1092,1,546,1,1973
6,1094,2,1094,1,1953
6,1811,2,1073,1,1956
4,1294,0,0,2,1900
7,2034,2,1057,2,1997
6,1253,1,1253,1,1960
7,2514,2,1216,2,1990
5,1154,2,1154,1,1966
6,1456,2,728,2,2006
6,1800,2,982,2,2000
5,1656,1,660,2,1916
8,2365,3,1252,2,1999
7,1436,2,1436,2,2004
6,1062,2,1029,1,1976
5,1466,2,796,2,1936
5,1155,2,1109,1,1961
7,1536,2,1536,2,2002
5,971,1,971,1,1969
6,1003,2,1003,1,1984
7,1504,2,1504,2,1996
5,1920,2,928,2,1948
7,1242,2,1242,1,1973
7,2340,1,1152,2,1941
7,1661,2,1649,2,1998
6,1113,1,1143,1,1976
4,1230,1,747,1,1946
6,1279,2,1196,2,1977
9,2668,3,1572,2,2003
4,1208,2,780,1,1925
7,1310,2,1310,2,2005
8,2576,3,1234,2,2006
5,936,2,936,1,1980
6,1647,1,806,1,1915
7,1220,2,1199,2,2006
5,882,2,882,1,1972
5,1302,2,630,2,1970
7,1442,2,1424,2,1990
9,1561,2,1561,2,2005
6,1204,2,1204,2,1998
7,1378,2,689,2,1928
6,848,2,848,1,2004
7,1525,2,1525,2,2000
5,1235,2,1235,1,1961
6,1412,2,616,2,2006
5,2240,2,0,2,1979
7,2295,2,1095,2,1992
8,1668,2,1657,2,2003
7,1614,3,1614,2,2005
5,866,0,686,1,1945
7,1494,3,1494,2,2006
7,1432,2,716,2,2004
8,1904,2,1058,2,2005
6,1125,1,1041,1,1976
6,1072,2,547,2,2005
5,1867,1,1617,1,1955
6,1482,1,672,2,1925
8,2376,3,1158,3,2005
5,1048,2,0,1,1950
7,1820,2,864,1,1965
7,1200,2,600,2,2005
9,2018,3,2002,2,2008
5,996,0,996,1,1940
6,848,2,848,1,2003
7,1761,2,874,3,2007
5,1057,2,1057,1,1962
8,1593,2,1593,1,2001
7,1382,2,673,2,2000
7,1391,2,1391,2,2004
5,1363,1,1008,1,1951
7,1459,2,1459,2,2002
8,1652,2,1494,2,2000
6,1026,2,940,1,1978
7,2640,4,1240,1,1880
6,1640,2,798,2,2004
7,1108,1,637,1,1930
4,693,0,693,1,1941
5,1203,1,709,1,1950
5,1572,3,1572,1,1963
7,1560,2,1560,2,2003
6,1958,2,979,2,1946
5,894,1,894,1,1966
8,1269,2,1256,2,2004
7,1428,2,1417,2,2008
8,1932,3,1932,2,2008
9,1684,2,1684,2,2005
8,3279,3,1650,3,2003
4,816,1,816,1,1938
7,2157,2,924,2,1966
6,1682,2,804,2,1998
5,698,0,698,1,1947
5,1687,2,747,1,1948
6,1224,2,612,2,2009
5,1728,1,1728,2,1964
6,1141,2,1141,1,2005
7,1277,2,1277,1,1970
4,1123,1,732,1,1939
8,2524,2,2524,2,1981
6,1314,2,1314,2,2006
4,1981,2,1122,2,1928
5,864,2,864,1,1955
7,1426,1,912,1,1918
7,1555,3,1373,2,2007
